Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Duration (sec),Level (Assignment),Level (ProblemSet),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Input,correctness,answerType
bf7a5b63ef96de9709f1895361fb19f1,Stu_005a9729f8e3869ff12b105e0f7bb82e,S276199344502b5bb84fdeb28414e59df,5/2/16 12:26,America/New_York,132.5,Show what you know A,Assessment_A,5,1,5/2/16 12:22,responseA0001 UpdateTextArea,1,1,"no, because you don't change the denominater so this why this answer is wrong.",1,p
67cf78707ccc26e1e9637cdf9cf56a38,Stu_03af0deb60a1b42c70c4d71b3f9f8bed,Sd5e01db04cd96519388d7dbf89754206,5/20/16 9:17,America/New_York,50,Show what you learned A,Assessment_A,5,1,5/20/16 9:16,responseA0001 UpdateTextArea,1,1,I think her answer is right.,0,n
566fa61280783e071f0dc4ccb4d51f5f,Stu_03c1e9a4dde8c645a7554f75a1f33ea7,S41b8064a1f76e5b864cd40b0f1c87db9,2/19/16 10:49,America/New_York,198,Show what you know A,Assessment_A,5,1,2/19/16 10:42,responseA0001 UpdateTextArea,1,1,I think that the picture is incorrect.I think this because you never add the denomantor.The correct anwwser would be 6/40.,0,p
66a46d326876f2d863aac6defbbd469f,Stu_04235a6a18782d9209667e4bbaeef1bd,S0a20044e774076db3dab35400c3cde38,5/23/16 9:55,America/New_York,86.5,Show what you learned A,Assessment_A,5,1,5/23/16 9:52,responseA0001 UpdateTextArea,1,1,the 6 is right but the bottom is not right,0,u
e136fcb1272a730809cf6248134c28be,Stu_0479dc58fcc9d95f20f7396a10885619,S0c19e139f5bca05f25156309d670978d,5/20/16 9:03,America/New_York,96.5,Show what you learned A,Assessment_A,5,1,5/20/16 9:00,responseA0001 UpdateTextArea,1,1,"She is wrong because, first she didn't find a common denominator, and second, she didn't convert the fractions so she could've gotten  that right answer. So, basically she would've gotten the right answer if she fund a common denominator.",1,p
d54ea501a8d5eb573dfe242be809c9d7,Stu_049d4b0e20a592319973093bdf412b18,S4967155914b09be44306146c0990b267,5/6/16 11:15,America/New_York,191,Show what you learned A,Assessment_A,5,1,5/6/16 11:09,responseA0001 UpdateTextArea,1,1,"She did not add them correctly. She first needs find the least common dennominator (LCD).She then needs to convert the denominator to the one common multple they both have. She also needs multiply the numirator by the same factor the denominator was multiplied. She should use the same steps for the other fraction, but this time she should find the factors that equal the common multiple. Then she will be able to add her to fractions. She may also need to simpify so she should simplify to give the best answer.",1,p
abab264a844b1a60f63b82d466df3b84,Stu_04dcb6afb01f3e5974a34f1e45a4c512,S4e70b11edac399518be4c47d4df0660f,5/9/16 9:28,America/New_York,73,Show what you know A,Assessment_A,5,1,5/9/16 9:26,responseA0001 UpdateTextArea,1,1,she is wrong because she doesn't  have the least common denominator for 2/8 and 4/5.,1,p
9b2e958ecac5847009d0459ce800d96e,Stu_05a9b3dd6b2ba771cba20bdb2d2942d5,S315752977c066b7f1c08dd7b25f66fa8,5/13/16 9:15,America/New_York,346,Show what you learned A,Assessment_A,5,1,5/13/16 9:09,responseA0001 UpdateTextArea,1,1,she is incorrect because she multiplied the numbers wrongly,0,u
62add79bdc5b00733b96043fff40d012,Stu_0716fb7a838203f6432defa3c5564a42,S5fa9bd978e890eb7a1137537ec6dc8d0,2/8/16 11:04,America/New_York,27,Show what you know A,Assessment_A,5,1,2/8/16 11:01,responseA0001 UpdateTextArea,2,1,I know that  if you add the numerator by the denominator you get the answer of 6-12,0,p
d7352ef4e2480f5d4a0b39eabd40e9c9,Stu_075a11e1b4fbee4969b0b0146a2ffec4,S074ee41ea27125b94db8c22ad6338376,5/13/16 13:27,America/New_York,4.5,Show what you learned A,Assessment_A,5,1,5/13/16 13:26,responseA0001 UpdateTextArea,2,1,you are not supposed to add the denominators,1,p
